Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 262,144 || all params: 6,738,677,760 || trainable%: 0.0038901400146488085
",['q_proj'],1,2023-10-20 00:23:46.722005,2023-10-20 01:36:05.502956,1,2000,0.021627104415514097,0.13246062465268837,"{'rouge-1': {'r': 0.22534645599507572, 'p': 0.28106984970514054, 'f': 0.20848809040005212}, 'rouge-2': {'r': 0.062271358846167385, 'p': 0.0743652240651999, 'f': 0.053223268169840264}, 'rouge-l': {'r': 0.21347590887084217, 'p': 0.2658534823269635, 'f': 0.1969381039307536}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 524,288 || all params: 6,738,939,904 || trainable%: 0.007779977377284533
",['q_proj'],2,2023-10-20 02:44:57.240368,2023-10-20 03:57:15.763952,1,2000,0.020833022615082835,0.12851893950589519,"{'rouge-1': {'r': 0.22284611047131056, 'p': 0.2554746513500379, 'f': 0.19765062400269945}, 'rouge-2': {'r': 0.05848960470544842, 'p': 0.06438591616018552, 'f': 0.048078355182648365}, 'rouge-l': {'r': 0.21062424604095362, 'p': 0.24077575579851604, 'f': 0.1862205092407799}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 1,048,576 || all params: 6,739,464,192 || trainable%: 0.015558744287783286
",['q_proj'],4,2023-10-20 05:15:53.688558,2023-10-20 06:28:13.606560,1,2000,0.024387991980132376,0.13586319082835713,"{'rouge-1': {'r': 0.22616942169274273, 'p': 0.2754478371952723, 'f': 0.20896336941334046}, 'rouge-2': {'r': 0.06207255179170903, 'p': 0.07288794477788252, 'f': 0.053766064316383914}, 'rouge-l': {'r': 0.21437597291698193, 'p': 0.2595940757869007, 'f': 0.19734174742702956}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 2,097,152 || all params: 6,740,512,768 || trainable%: 0.03111264783824826
",['q_proj'],8,2023-10-20 07:34:44.083421,2023-10-20 08:47:04.120958,1,2000,0.022549958965503703,0.13816685509431972,"{'rouge-1': {'r': 0.22896667253482575, 'p': 0.2935098238368755, 'f': 0.21687626382241026}, 'rouge-2': {'r': 0.06463111588967686, 'p': 0.08225547453485589, 'f': 0.05835166515248834}, 'rouge-l': {'r': 0.2167759989324536, 'p': 0.2778262965230777, 'f': 0.2051187562318184}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
",['q_proj'],16,2023-10-20 09:52:15.557646,2023-10-20 11:04:33.715975,1,2000,0.02352983254712087,0.13534299344488904,"{'rouge-1': {'r': 0.22727750372886385, 'p': 0.28017115944775384, 'f': 0.2098358901382992}, 'rouge-2': {'r': 0.06412188973914225, 'p': 0.07616045528440328, 'f': 0.05555247132522448}, 'rouge-l': {'r': 0.21475172596759218, 'p': 0.26401515106716994, 'f': 0.19770243762270667}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 8,388,608 || all params: 6,746,804,224 || trainable%: 0.12433454005023165
",['q_proj'],32,2023-10-20 13:58:01.703260,2023-10-20 15:11:14.422826,1,2000,0.025427386572900598,0.1374896278909449,"{'rouge-1': {'r': 0.23457430175546246, 'p': 0.27783674554524235, 'f': 0.21408163617029802}, 'rouge-2': {'r': 0.06495851476153146, 'p': 0.07526229370501294, 'f': 0.055078302037322065}, 'rouge-l': {'r': 0.22344126438494985, 'p': 0.26344719067268324, 'f': 0.20326021205153008}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,2023-10-20 16:21:12.756262,2023-10-20 17:34:25.397972,1,2000,0.024015426644043162,0.13977624714904707,"{'rouge-1': {'r': 0.23299659267541928, 'p': 0.26825655708103313, 'f': 0.20923963065203213}, 'rouge-2': {'r': 0.06697314160779155, 'p': 0.07337384780675871, 'f': 0.056150017874200236}, 'rouge-l': {'r': 0.22252255916496413, 'p': 0.2552431047688799, 'f': 0.19919507893438274}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 33,554,432 || all params: 6,771,970,048 || trainable%: 0.49548996469513035
",['q_proj'],128,2023-10-20 22:43:56.733186,2023-10-20 23:59:56.572846,1,2000,0.025250553487117945,0.1426567361116952,"{'rouge-1': {'r': 0.23789566900251094, 'p': 0.2851170424706463, 'f': 0.21836626666599107}, 'rouge-2': {'r': 0.06620426794908565, 'p': 0.07696684648446966, 'f': 0.057293314645449026}, 'rouge-l': {'r': 0.22587198935276803, 'p': 0.2702576927359773, 'f': 0.20689048229687043}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 1,048,576 || all params: 6,739,464,192 || trainable%: 0.015558744287783286
","['q_proj', 'v_proj', 'k_proj', 'o_proj']",1,2023-10-21 01:11:14.426537,2023-10-21 02:28:18.548932,1,2000,0.0251667085117518,0.13369718609896425,"{'rouge-1': {'r': 0.22704290720256468, 'p': 0.2496712706803121, 'f': 0.19681016110549657}, 'rouge-2': {'r': 0.06388717066992014, 'p': 0.06907429960190886, 'f': 0.05263507529922181}, 'rouge-l': {'r': 0.21602333664945836, 'p': 0.23729662515134425, 'f': 0.18679898555412447}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 2,097,152 || all params: 6,740,512,768 || trainable%: 0.03111264783824826
","['q_proj', 'v_proj', 'k_proj', 'o_proj']",2,2023-10-21 03:59:40.090977,2023-10-21 05:16:46.419993,1,2000,0.022895978465613868,0.13364587419333965,"{'rouge-1': {'r': 0.2088345446888267, 'p': 0.32104337809606925, 'f': 0.21496023148403684}, 'rouge-2': {'r': 0.061823268870296426, 'p': 0.0929955161095228, 'f': 0.06136459876095652}, 'rouge-l': {'r': 0.1984798099567997, 'p': 0.30514848781571013, 'f': 0.20393810432380144}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'v_proj', 'k_proj', 'o_proj']",4,2023-10-21 06:00:36.391123,2023-10-21 07:17:42.699571,1,2000,0.026573754959910875,0.13408736710228505,"{'rouge-1': {'r': 0.21554975729423942, 'p': 0.30324700372828034, 'f': 0.21330824411357852}, 'rouge-2': {'r': 0.06230007726738371, 'p': 0.0855576678116173, 'f': 0.059069725928735856}, 'rouge-l': {'r': 0.20540223422949364, 'p': 0.2897110170172159, 'f': 0.20310109475601795}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 8,388,608 || all params: 6,746,804,224 || trainable%: 0.12433454005023165
","['q_proj', 'v_proj', 'k_proj', 'o_proj']",8,2023-10-21 08:08:49.475395,2023-10-21 09:25:48.944536,1,2000,0.02325416951832634,0.1239025343577438,"{'rouge-1': {'r': 0.20676953287506072, 'p': 0.27263125150410467, 'f': 0.1956713621388169}, 'rouge-2': {'r': 0.05767694450156592, 'p': 0.07378020811858736, 'f': 0.051868991274853074}, 'rouge-l': {'r': 0.19576675232182333, 'p': 0.2584860936028458, 'f': 0.18514906227106123}}"
